sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188273	NA18505	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125062	YRI	Yoruba	AFR	African
ERR188274	HG00277	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123423	FIN	Finnish	EUR	European
ERR188275	NA19201	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122990	YRI	Yoruba	AFR	African
ERR188276	NA20758	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125117	TSI	Tuscan	EUR	European
ERR188277	NA12340	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125157	CEU	CEPH	EUR	European
ERR188278	NA18861	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124905	YRI	Yoruba	AFR	African
ERR188279	NA12776	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124256	CEU	CEPH	EUR	European
ERR188280	HG00381	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123030	FIN	Finnish	EUR	European
ERR188281	NA20801	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125365	TSI	Tuscan	EUR	European
ERR188282	NA20809	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125359	TSI	Tuscan	EUR	European
ERR188283	NA18907	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123563	YRI	Yoruba	AFR	African
ERR188284	NA19223	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125223	YRI	Yoruba	AFR	African
ERR188285	HG00122	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122876	GBR	British	EUR	European
ERR188286	NA20805	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125361	TSI	Tuscan	EUR	European
ERR188287	HG00156	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123276	GBR	British	EUR	European
